"filename", "language", "Markdown", "TypeScript", "JSON", "JavaScript", "HTML", "pip requirements", "JSON with Comments", "TypeScript JSX", "Python", "CSS", "XML", "Docker", "comment", "blank", "total"
"/home/aarya/Projects/DDAS/Unison/app/core/mongodb.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/home/aarya/Projects/DDAS/Unison/app/core/schemas.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"/home/aarya/Projects/DDAS/Unison/app/core/security.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 1, 40, 199
"/home/aarya/Projects/DDAS/Unison/app/dashboard/dependencies.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"/home/aarya/Projects/DDAS/Unison/app/dashboard/endpoints.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 6, 39
"/home/aarya/Projects/DDAS/Unison/app/dashboard/models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 5, 40
"/home/aarya/Projects/DDAS/Unison/app/dashboard/repositories.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"/home/aarya/Projects/DDAS/Unison/app/dashboard/schemas.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 33
"/home/aarya/Projects/DDAS/Unison/app/dashboard/services.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"/home/aarya/Projects/DDAS/Unison/app/main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 7, 40
"/home/aarya/Projects/DDAS/Unison/app/synchronization_engine/api/dependencies.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"/home/aarya/Projects/DDAS/Unison/app/synchronization_engine/api/endpoints/file_metadata.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 6, 42
"/home/aarya/Projects/DDAS/Unison/app/synchronization_engine/api/endpoints/server_status.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
"/home/aarya/Projects/DDAS/Unison/app/synchronization_engine/models/file_metadata.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 1, 9, 65
"/home/aarya/Projects/DDAS/Unison/app/synchronization_engine/models/server_status.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 7, 25
